ID,Word,Definition,Part of Speech,Example Sentence,Synonym 1,Synonym 2,CEFR Level,Difficulty Score,Category,Frequency Level,Word Family,Usage Note,Related Words
188,Equipment,The tools or items needed for a particular activity.,Noun,The laboratory has modern equipment.,gear,apparatus,A2,23,General,Very Common,,,hardware;implement;transport
189,Establish,"To create, start, or firmly set something up.",Verb,They established a new company.,found,set up,B2,56,Society & Culture,Common,,,establishment;initiate;pioneer
190,Evaluation,A careful judgment of the quality or value of something.,Noun,The course received a positive evaluation.,assessment,appraisal,B2,59,General,Common,,,evaluate;judgment;estimate
191,Evidence,Information or facts that support a conclusion.,Noun,The police found useful evidence.,proof,testimony,B1,35,Academic,Common,,,evidentiary;evident;information
192,Evolution,A gradual process of change and development.,Noun,Technology has undergone rapid evolution.,development,progression,B2,57,Science & Technology,Common,,,process;deepening;unfolding
193,Excursion,A short journey made for pleasure or a specific purpose.,Noun,We took an excursion to the coast.,trip,outing,B2,66,General,Common,,,journey;journeying;expedition
194,Executive,A person with senior responsibility in an organization.,Noun,The executive approved the proposal.,manager,director,B2,55,Society & Culture,Common,,,minister;administration;governance
195,Exercise,Physical activity done to improve or maintain health.,Noun,Daily exercise improves fitness.,workout,training,A1,12,General,Very Common,,,stretch;activity;exploitation
196,Expansion,The process of becoming larger or more extensive.,Noun,The business plans international expansion.,growth,enlargement,B2,56,General,Common,,,increase;dilatation;inflation
197,Experience,Knowledge or skill gained by doing something.,Noun,She has years of experience.,knowledge,expertise,A2,21,Academic,Very Common,,,experiential;education;content
198,Experiment,A scientific test carried out to learn something.,Noun,The students conducted an experiment.,test,trial,B1,41,General,Common,,,testing;condition;control
199,Explanation,A statement that makes something clear or understandable.,Noun,His explanation was easy to follow.,clarification,description,B1,40,Communication,Common,,,explain;statement;definition
200,Exploration,The act of investigating an unfamiliar area or subject.,Noun,Space exploration requires advanced technology.,investigation,examination,B2,60,General,Common,,,explore;expedition;hunting
201,Expression,The act of showing an idea or feeling.,Noun,Her facial expression changed.,display,articulation,B1,39,Personal Development,Common,,,countenance;sparkle;twinkle
202,Extensive,Covering a large amount or area.,Adjective,The report contains extensive research.,broad,wide-ranging,B2,56,General,Common,,,extensiveness;comprehensive;extend
203,External,Coming from outside something.,Adjective,External factors affected the result.,exterior,outer,B1,39,Academic,Common,,,externality;outside;position
204,Familiarity,Knowledge or understanding gained through experience.,Noun,Familiarity with the software helped.,acquaintance,knowledge,B2,66,Academic,Common,,,familiar;information;stimulant
205,Financial,Related to money or finance.,Adjective,She received financial advice.,monetary,fiscal,B1,35,Academic,Common,,,finance
206,Financing,The provision of money for a project or purchase.,Noun,The company secured financing.,funding,backing,B2,60,General,Common,,,finance;banking;investing
207,Fitness,The condition of being physically healthy and strong.,Noun,Swimming improved his fitness.,health,wellness,A2,30,Personal Development,Very Common,,,suitability;qualification;condition
208,Fluency,The ability to speak or write smoothly and easily.,Noun,Practice improved her English fluency.,proficiency,eloquence,B2,67,Communication,Common,,,adeptness;adroitness;facility
209,Forecast,"A prediction about what will happen, especially the weather.",Noun,The forecast predicts rain.,prediction,projection,B1,44,Communication,Common,,,foretelling;prognostication;prophecy
210,Foreign,From or belonging to another country.,Adjective,He speaks two foreign languages.,overseas,non-native,A2,22,General,Very Common,,,external;international;outside
211,Forgiveness,The act of stopping resentment toward someone who caused harm.,Noun,Forgiveness can bring peace.,pardon,absolution,B2,63,Emotion,Common,,,kindness;consideration;mercifulness
212,Foundation,The basic support or underlying basis of something.,Noun,Trust is the foundation of a strong relationship.,basis,groundwork,B1,37,Academic,Common,,,relation;found;footing
213,Freedom,The ability or right to act without unfair restriction.,Noun,Everyone values personal freedom.,liberty,independence,A2,23,Personal Development,Very Common,,,immunity;state;enfranchisement
214,Friendly,"Kind, pleasant, and welcoming.",Adjective,The staff were friendly.,kind,amiable,A1,13,Society & Culture,Very Common,,,cordial;intimate;informal
215,Friendship,A close relationship based on mutual affection and trust.,Noun,Their friendship lasted for years.,companionship,camaraderie,A2,30,Personal Development,Very Common,,,relationship;company;fellowship
216,Furniture,Large movable objects used to equip a room.,Noun,The apartment needs new furniture.,furnishings,fittings,A1,16,General,Very Common,,,furnish;appointment;fitting
217,Generation,A group of people born and living around the same time.,Noun,Each generation faces different challenges.,age group,cohort,B1,36,Society & Culture,Common,,,generate;division;generational
218,Generosity,A willingness to give or share freely.,Noun,Her generosity helped the community.,kindness,benevolence,B2,64,Personal Development,Common,,,generous;sharing;consideration
219,Geological,"Relating to the Earth's rocks, structure, and history.",Adjective,The region has unusual geological features.,geologic,,C1,75,Academic,Less Common,,,geology
220,Government,The group or system that manages a country or community.,Noun,The government announced new measures.,administration,regime,A2,20,Society & Culture,Very Common,,,establishment;organization;organisation
221,Guidance,Advice or direction that helps someone decide what to do.,Noun,The mentor provided useful guidance.,advice,direction,B1,41,Communication,Common,,,message;content;substance
222,Habitat,The natural home of a plant or animal.,Noun,The wetland is an important bird habitat.,environment,home,B1,45,Travel & Places,Common,,,environs;surroundings;surround
223,Happiness,The state of feeling pleasure or contentment.,Noun,Family brought her happiness.,joy,contentment,A1,15,Personal Development,Very Common,,,feeling;rejoicing;belonging
224,Hardware,The physical parts of a computer or electronic system.,Noun,The software needs newer hardware.,equipment,machinery,B1,42,General,Common,,,implement;transport;connection
225,Heritage,"Traditions, culture, or property passed down through generations.",Noun,The festival celebrates local heritage.,legacy,tradition,B2,58,Academic,Common,,,practice;attribute;upbringing
226,Historical,Related to the past or important in history.,Adjective,The building has historical value.,historic,past,B1,38,Academic,Common,,,history;existent;historicalness
227,Honesty,The quality of being truthful and sincere.,Noun,Honesty builds trust.,truthfulness,sincerity,A2,32,Personal Development,Very Common,,,directness;integrity;justice
228,Hospitality,Friendly and generous treatment of guests or visitors.,Noun,The hotel is known for its hospitality.,welcome,warmth,B2,62,Communication,Common,,,hospitable
229,Household,All the people living together in one home.,Noun,The household shares the monthly expenses.,family,home,B1,39,Society & Culture,Common,,,householder;unit
230,Humanity,Human beings considered as a whole.,Noun,The story explores the best of humanity.,mankind,humankind,B2,58,Personal Development,Common,,,humanitarian;quality;human
231,Hydration,The process of giving the body enough water.,Noun,Good hydration is important in hot weather.,fluid intake,water intake,B2,66,Science & Technology,Common,,,association;hydrate;solvation
232,Identity,The qualities and characteristics that define a person or group.,Noun,Language can shape identity.,selfhood,character,B1,38,Personal Development,Common,,,identify;personality;recognition
233,Illustration,A picture or example used to explain something.,Noun,The book includes a useful illustration.,picture,example,B1,45,Communication,Common,,,artwork;graphics;demonstration
234,Imagination,The ability to form ideas or pictures in the mind.,Noun,Children often have vivid imagination.,creativity,inventiveness,B1,43,Academic,Common,,,imagine;fantasy;dreaming
235,Immediate,Happening or needed at once.,Adjective,The patient needed immediate attention.,instant,prompt,B1,39,General,Common,,,present;immediateness;close
236,Improvement,A change that makes something better.,Noun,There has been a clear improvement.,enhancement,advancement,A2,29,Society & Culture,Very Common,,,improve;transformation;conservation
